epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.83982,0.70867,0.52381,1,0.80091,1.667e-05,1.667e-05,1.667e-05
2,7.81548,0.68298,0.54762,1,0.81363,4.75345e-05,4.75345e-05,4.75345e-05
3,11.9115,0.64268,0.61905,1,0.73723,7.50984e-05,7.50984e-05,7.50984e-05
4,15.6556,0.59786,0.64286,1,0.62279,9.93615e-05,9.93615e-05,9.93615e-05
5,19.2898,0.51991,0.69048,1,0.56652,0.000120324,0.000120324,0.000120324
6,23.0372,0.45893,0.83333,1,0.49269,0.000137986,0.000137986,0.000137986
7,26.9112,0.4294,0.85714,1,0.39926,0.000152347,0.000152347,0.000152347
8,30.562,0.33537,0.88095,1,0.3859,0.000163408,0.000163408,0.000163408
9,34.1725,0.34286,0.88095,1,0.34327,0.000171168,0.000171168,0.000171168
10,37.7942,0.2743,0.88095,1,0.38537,0.000175627,0.000175627,0.000175627
11,41.6562,0.25537,0.88095,1,0.40948,0.000176785,0.000176785,0.000176785
12,44.6097,0.28987,0.88095,1,0.32428,0.000174643,0.000174643,0.000174643
13,47.812,0.23069,0.88095,1,0.28609,0.000169201,0.000169201,0.000169201
14,50.8875,0.20871,0.88095,1,0.27852,0.000160457,0.000160457,0.000160457
15,53.8828,0.17962,0.88095,1,0.27903,0.000148413,0.000148413,0.000148413
16,57.2137,0.18465,0.88095,1,0.23628,0.000133068,0.000133068,0.000133068
17,60.199,0.16232,0.88095,1,0.26062,0.000114423,0.000114423,0.000114423
18,63.2111,0.15331,0.88095,1,0.24614,9.24768e-05,9.24768e-05,9.24768e-05
19,66.3213,0.13309,0.88095,1,0.27969,6.72301e-05,6.72301e-05,6.72301e-05
20,69.6384,0.19067,0.88095,1,0.20343,3.86827e-05,3.86827e-05,3.86827e-05
